,CellLabel,NodeLabelLobe,NodeLabelNeck1,NodeLabelNeck2,LobeLength,NeckWidth
241,50.0,17.0,12.0,23.0,6.907796826774801,14.473391067749121
242,50.0,28.0,23.0,31.0,3.005924982430533,10.874008506526009
243,50.0,32.0,31.0,38.0,1.105,11.84568246239954
244,50.0,53.0,38.0,58.0,8.251324378546757,18.960975739660658
245,50.0,0.0,58.0,5.0,3.3223584996204125,10.389350797812153
246,51.0,20.0,15.0,25.0,5.458297353570983,11.462211392222708
247,51.0,33.0,25.0,36.0,4.447539207247082,14.235213697026117
248,51.0,39.0,36.0,42.0,1.3977267257944237,9.574683127916035
249,51.0,44.0,42.0,46.0,1.593653663755083,5.884578914416902
250,51.0,53.0,46.0,61.0,7.785350409583373,21.330793609240143
251,51.0,68.0,61.0,73.0,5.271672315309441,16.06017811233736
252,51.0,4.0,73.0,15.0,12.425232432433608,18.569261159238405
253,52.0,10.0,4.0,14.0,4.598712102317344,13.180570435303625
254,52.0,19.0,14.0,23.0,4.770734325027961,12.829425941950793
255,52.0,26.0,23.0,38.0,5.039575378938189,17.824441225463424
256,52.0,45.0,38.0,47.0,29.771907362478476,13.039
257,52.0,51.0,47.0,52.0,0.7968268318775416,8.644462389298711
258,52.0,56.0,52.0,4.0,6.080512889551341,22.71574707113988
259,53.0,14.0,13.0,19.0,1.250164789137816,8.84
260,53.0,31.0,19.0,33.0,3.3806499375120165,17.85865980413984
261,53.0,36.0,33.0,39.0,1.976684092109814,10.006200577641847
262,53.0,40.0,39.0,50.0,1.6089042855309945,15.408312723981169
263,53.0,61.0,50.0,62.0,1.3977267257944237,17.425398044234168
264,53.0,2.0,62.0,13.0,8.91975274320987,19.105958075951072
265,54.0,6.0,4.0,16.0,3.070230121668407,17.408572744484253
266,54.0,18.0,16.0,24.0,3.0781738092576902,10.480620640019369
267,54.0,41.0,24.0,57.0,24.851447543352478,11.627204651161861
268,54.0,66.0,57.0,72.0,7.543193289317197,16.79745388444332
269,54.0,74.0,72.0,76.0,1.593653663755083,5.762974926199142
270,54.0,83.0,76.0,88.0,5.946501828806579,14.380291860737737
271,54.0,0.0,88.0,4.0,3.9161299774139264,8.596303449739311
272,55.0,9.0,4.0,13.0,4.222199071573959,11.122690906430872
273,55.0,18.0,13.0,19.0,1.105,11.359485991892415
274,55.0,20.0,19.0,23.0,0.442,6.710544091204527
275,55.0,25.0,23.0,31.0,2.176597574196939,10.626400707671436
276,55.0,37.0,31.0,40.0,3.597619351738035,11.5640242995248
277,55.0,44.0,40.0,45.0,0.442,8.31911635932567
278,55.0,46.0,45.0,52.0,1.56270598642227,10.610301833595498
279,55.0,57.0,52.0,58.0,0.937623591853362,10.783803642500173
280,55.0,64.0,58.0,65.0,0.911206343261503,11.227583043558395
281,55.0,66.0,65.0,71.0,1.326,9.157510414954492
282,55.0,0.0,71.0,4.0,3.763494386869735,9.324000214500213
283,56.0,10.0,5.0,18.0,7.813529932111351,6.140460243336814
284,56.0,19.0,18.0,20.0,0.625082394568908,2.9732509144032897
285,56.0,0.0,20.0,5.0,7.922164161389235,5.950607111883627
286,57.0,8.0,3.0,14.0,8.502039755258734,5.733235822814199
287,57.0,20.0,14.0,3.0,6.91839432238435,5.733235822814199
288,58.0,9.0,6.0,11.0,1.976684092109814,7.610875508113373
289,58.0,15.0,11.0,16.0,1.250164789137816,8.044521427654972
290,58.0,18.0,16.0,20.0,1.56270598642227,6.593063779457924
291,58.0,23.0,20.0,31.0,3.757,14.138819363723409
292,58.0,33.0,31.0,37.0,1.9011138840164206,9.197424204634688
293,58.0,41.0,37.0,42.0,0.7968268318775416,7.785350409583373
294,58.0,48.0,42.0,50.0,2.6611924019130972,12.886403687608114
295,58.0,52.0,50.0,6.0,3.344336855043164,16.47450870284149
296,59.0,5.0,3.0,8.0,3.6582009239515534,3.8595990724426286
297,59.0,0.0,8.0,3.0,3.570364267130176,3.8595990724426286
298,60.0,36.0,14.0,44.0,10.052463827341038,20.967065626834863
299,60.0,49.0,44.0,63.0,8.40090739146671,20.953084474606598
300,60.0,79.0,63.0,89.0,13.908961176162654,20.005078205295774
301,60.0,97.0,89.0,98.0,1.105,14.95632909506875
302,60.0,0.0,98.0,14.0,1.7260651783753704,22.409443589701194
303,61.0,11.0,6.0,19.0,7.514,5.538244126074617
304,61.0,0.0,19.0,6.0,9.895767024339245,5.538244126074617
